family,pair,model,A_components,B_components,cos_sim,linf,bit_identical
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","SGFormer+GCN (pretrained)",1,10,1,2.9802322e-08,True
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","SGFormer+GCN (random)",1,10,1.0000001,0,True
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","TransConv only (random)",1,10,1,0,True
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","GNN only (random)",1,10,0.99999988,0,True
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","Simple GCN (random)",1,10,1,6.9849193e-10,True
heterogeneous,"Heterogeneous-feature 1-WL pair (k=10)","Hierarchical OPTFM (random)",1,10,1,2.9802322e-08,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","SGFormer+GCN (pretrained)",2,3,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","SGFormer+GCN (random)",2,3,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","TransConv only (random)",2,3,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","GNN only (random)",2,3,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","Simple GCN (random)",2,3,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=2)","Hierarchical OPTFM (random)",2,3,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","SGFormer+GCN (pretrained)",2,4,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","SGFormer+GCN (random)",2,4,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","TransConv only (random)",2,4,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","GNN only (random)",2,4,0.99999988,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","Simple GCN (random)",2,4,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=3)","Hierarchical OPTFM (random)",2,4,1.0000001,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","SGFormer+GCN (pretrained)",2,5,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","SGFormer+GCN (random)",2,5,1,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","TransConv only (random)",2,5,0.99999994,0,True
gadget_union,"Gadget-union node-varied 1-WL pair (k=4)","GNN only (random)",2,5,1,0,True
